species,catalog,catalog_id,p,N,matches_checked,FR,FA,cost
false_killer_whale,AET-False Killer Whales,false_killer_whale-0,0.413507986,29,30,0,0,32
false_killer_whale,AET-False Killer Whales,false_killer_whale-0,0.413507986,29,35,0,0,32
false_killer_whale,AET-False Killer Whales,false_killer_whale-0,0.413507986,29,40,0,0,32
false_killer_whale,AET-False Killer Whales,false_killer_whale-0,0.413507986,29,45,0,0,32
false_killer_whale,AET-False Killer Whales,false_killer_whale-0,0.413507986,29,50,0,0,32
false_killer_whale,False killer Whale-New Zealand,false_killer_whale-1,0.8,116,1,0.009499683,0.022165928,1579
false_killer_whale,False killer Whale-New Zealand,false_killer_whale-1,0.8,116,5,0.027865738,0,1769
false_killer_whale,False killer Whale-New Zealand,false_killer_whale-1,0.8,116,10,0.025965801,0,1979
false_killer_whale,False killer Whale-New Zealand,false_killer_whale-1,0.8,116,15,0.024699177,0,2181
false_killer_whale,False killer Whale-New Zealand,false_killer_whale-1,0.8,116,20,0.024699177,0,2376
false_killer_whale,False killer Whale-New Zealand,false_killer_whale-1,0.8,116,25,0.024699177,0,2571
false_killer_whale,False killer Whale-New Zealand,false_killer_whale-1,0.8,116,30,0.024065864,0,2762
false_killer_whale,False killer Whale-New Zealand,false_killer_whale-1,0.8,116,35,0.024065864,0,2952
false_killer_whale,False killer Whale-New Zealand,false_killer_whale-1,0.8,116,40,0.02279924,0,3139
false_killer_whale,False killer Whale-New Zealand,false_killer_whale-1,0.8,116,45,0.02279924,0,3319
false_killer_whale,False killer Whale-New Zealand,false_killer_whale-1,0.8,116,50,0.022165928,0,3496
false_killer_whale,PWF-False Killer Whales,false_killer_whale-2,0.416525296,218,1,0.006802721,0.034013605,147
false_killer_whale,PWF-False Killer Whales,false_killer_whale-2,0.416525296,218,5,0.013605442,0,162
false_killer_whale,PWF-False Killer Whales,false_killer_whale-2,0.416525296,218,10,0.006802721,0,170
false_killer_whale,PWF-False Killer Whales,false_killer_whale-2,0.416525296,218,15,0.006802721,0,175
false_killer_whale,PWF-False Killer Whales,false_killer_whale-2,0.416525296,218,20,0.006802721,0,180
false_killer_whale,PWF-False Killer Whales,false_killer_whale-2,0.416525296,218,25,0.006802721,0,185
false_killer_whale,PWF-False Killer Whales,false_killer_whale-2,0.416525296,218,30,0.006802721,0,190
false_killer_whale,PWF-False Killer Whales,false_killer_whale-2,0.416525296,218,35,0.006802721,0,195
false_killer_whale,PWF-False Killer Whales,false_killer_whale-2,0.416525296,218,40,0.006802721,0,200
false_killer_whale,PWF-False Killer Whales,false_killer_whale-2,0.416525296,218,45,0.006802721,0,205
false_killer_whale,PWF-False Killer Whales,false_killer_whale-2,0.416525296,218,50,0.006802721,0,210
fin_whale,BpMachineLearning,fin_whale-0,0.421744902,1104,1,0.07859734,0.108827086,827
fin_whale,BpMachineLearning,fin_whale-0,0.421744902,1104,5,0.062877872,0,1202
fin_whale,BpMachineLearning,fin_whale-0,0.421744902,1104,10,0.047158404,0,1421
fin_whale,BpMachineLearning,fin_whale-0,0.421744902,1104,15,0.036275695,0,1598
fin_whale,BpMachineLearning,fin_whale-0,0.421744902,1104,20,0.030229746,0,1740
fin_whale,BpMachineLearning,fin_whale-0,0.421744902,1104,25,0.029020556,0,1862
fin_whale,BpMachineLearning,fin_whale-0,0.421744902,1104,30,0.025392987,0,1978
fin_whale,BpMachineLearning,fin_whale-0,0.421744902,1104,35,0.022974607,0,2076
fin_whale,BpMachineLearning,fin_whale-0,0.421744902,1104,40,0.021765417,0,2167
fin_whale,BpMachineLearning,fin_whale-0,0.421744902,1104,45,0.020556227,0,2257
fin_whale,BpMachineLearning,fin_whale-0,0.421744902,1104,50,0.020556227,0,2342
gray_whale,Gray-Whales,gray_whale-0,0.462349061,400,1,0.099688474,0.115264798,642
gray_whale,Gray-Whales,gray_whale-0,0.462349061,400,5,0.151090343,0,1111
gray_whale,Gray-Whales,gray_whale-0,0.462349061,400,10,0.130841121,0,1570
gray_whale,Gray-Whales,gray_whale-0,0.462349061,400,15,0.121495327,0,1972
gray_whale,Gray-Whales,gray_whale-0,0.462349061,400,20,0.115264798,0,2356
gray_whale,Gray-Whales,gray_whale-0,0.462349061,400,25,0.112149533,0,2724
gray_whale,Gray-Whales,gray_whale-0,0.462349061,400,30,0.105919003,0,3078
gray_whale,Gray-Whales,gray_whale-0,0.462349061,400,35,0.101246106,0,3409
gray_whale,Gray-Whales,gray_whale-0,0.462349061,400,40,0.098130841,0,3727
gray_whale,Gray-Whales,gray_whale-0,0.462349061,400,45,0.095015576,0,4039
gray_whale,Gray-Whales,gray_whale-0,0.462349061,400,50,0.093457944,0,4340
humpback_whale,Humpback-Dorsals-Australia,humpback_whale-0,0.407486041,358,1,0.090909091,0.177033493,209
humpback_whale,Humpback-Dorsals-Australia,humpback_whale-0,0.407486041,358,5,0.052631579,0,316
humpback_whale,Humpback-Dorsals-Australia,humpback_whale-0,0.407486041,358,10,0.028708134,0,360
humpback_whale,Humpback-Dorsals-Australia,humpback_whale-0,0.407486041,358,15,0.028708134,0,390
humpback_whale,Humpback-Dorsals-Australia,humpback_whale-0,0.407486041,358,20,0.028708134,0,420
humpback_whale,Humpback-Dorsals-Australia,humpback_whale-0,0.407486041,358,25,0.028708134,0,450
humpback_whale,Humpback-Dorsals-Australia,humpback_whale-0,0.407486041,358,30,0.028708134,0,480
humpback_whale,Humpback-Dorsals-Australia,humpback_whale-0,0.407486041,358,35,0.028708134,0,510
humpback_whale,Humpback-Dorsals-Australia,humpback_whale-0,0.407486041,358,40,0.023923445,0,537
humpback_whale,Humpback-Dorsals-Australia,humpback_whale-0,0.407486041,358,45,0.023923445,0,562
humpback_whale,Humpback-Dorsals-Australia,humpback_whale-0,0.407486041,358,50,0.023923445,0,587
humpback_whale,Humpback-dorsals-Happywhale,humpback_whale-1,0.421332784,6011,1,0.116704805,0.089016018,4370
